 Season, Age, Tm, Lg, Pos, G, MP,Shooting % FG,Shooting % 2P,Shooting % 3P,Shooting % eFG,Shooting % FT,Shooting % TS,Shooting % FTr,Shooting % 3PAr,League Shooting % FG,League Shooting % 2P,League Shooting % 3P,League Shooting % eFG,League Shooting % FT,League Shooting % TS,League Shooting % FTr,League Shooting % 3PAr,League-Adjusted FG+,League-Adjusted 2P+,League-Adjusted 3P+,League-Adjusted eFG+,League-Adjusted FT+,League-Adjusted TS+,League-Adjusted FTr+,League-Adjusted 3PAr+, FG Add, TS Add
2003-04,19,CLE,NBA,SG,79,3122,.417,.438,.290,.438,.754,.488,.308,.145,.439,.460,.347,.471,.752,.516,.303,.187,95,95,84,93,100,95,102,78,-98.7,-95.3
2004-05,20,CLE,NBA,SF,80,3388,.472,.499,.351,.504,.750,.554,.378,.183,.447,.470,.356,.482,.756,.529,.324,.196,105,106,99,105,99,105,116,93,73.5,95.7
2005-06,21,CLE,NBA,SF,79,3361,.480,.518,.335,.515,.738,.568,.447,.208,.454,.478,.358,.490,.745,.536,.333,.202,106,108,94,105,99,106,134,103,90.6,141.6
2006-07,22,CLE,NBA,SF,78,3190,.476,.513,.319,.507,.698,.552,.432,.191,.458,.485,.358,.496,.752,.541,.327,.213,104,106,89,102,93,102,132,90,33.8,42.6
2007-08,23,CLE,NBA,SF,75,3027,.484,.531,.315,.518,.712,.568,.470,.219,.457,.484,.362,.497,.755,.540,.306,.222,106,110,87,104,94,105,153,98,67.5,109.3
2008-09,24,CLE,NBA,SF,81,3054,.489,.535,.344,.530,.780,.591,.472,.238,.459,.485,.367,.500,.771,.544,.306,.224,107,110,94,106,101,109,155,106,97.7,182.8
2009-10,25,CLE,NBA,SF,76,2966,.503,.560,.333,.545,.767,.604,.506,.253,.461,.492,.355,.501,.759,.543,.300,.222,109,114,94,109,101,111,168,114,134.8,229.4
2010-11,26,MIA,NBA,SF,79,3063,.510,.552,.330,.541,.759,.594,.446,.188,.459,.487,.358,.498,.763,.541,.300,.222,111,113,92,109,99,110,149,85,127.9,187.1
2011-12,27,MIA,NBA,SF,62,2326,.531,.556,.362,.554,.771,.605,.429,.127,.448,.477,.349,.487,.752,.527,.276,.226,119,117,104,114,102,115,156,56,156.7,217.8
2012-13,28,MIA,NBA,PF,76,2877,.565,.602,.406,.603,.753,.640,.395,.188,.453,.483,.359,.496,.753,.535,.270,.243,125,125,113,121,100,120,146,77,288.7,336.6
2013-14,29,MIA,NBA,PF,77,2902,.567,.622,.379,.610,.750,.649,.432,.226,.454,.488,.360,.501,.756,.541,.284,.259,125,128,105,122,99,120,152,87,294.1,347.0
2014-15,30,CLE,NBA,SF,69,2493,.488,.536,.354,.535,.710,.577,.413,.265,.449,.485,.350,.496,.750,.534,.273,.268,109,111,101,108,95,108,151,99,99.6,128.4
2015-16,31,CLE,NBA,SF,76,2709,.520,.573,.309,.551,.731,.588,.347,.199,.452,.491,.354,.502,.757,.541,.276,.285,115,117,87,110,97,109,126,70,138.0,153.4
2016-17,32,CLE,NBA,SF,74,2794,.548,.611,.363,.594,.674,.619,.395,.254,.457,.503,.358,.514,.772,.552,.271,.316,120,121,101,116,87,112,146,80,215.2,211.2
2017-18,33,CLE,NBA,PF,82,3026,.542,.603,.367,.590,.731,.621,.336,.257,.460,.510,.362,.521,.767,.556,.252,.337,118,118,101,113,95,112,133,76,216.1,233.7
2018-19,34,LAL,NBA,SF,55,1937,.510,.582,.339,.560,.665,.588,.382,.299,.461,.520,.355,.524,.766,.560,.259,.359,111,112,96,107,87,105,148,83,79.0,73.6
2019-20,35,LAL,NBA,PG,67,2316,.493,.564,.348,.550,.693,.577,.292,.326,.460,.524,.358,.529,.773,.565,.260,.384,107,108,97,104,90,102,112,85,55.9,37.0
2020-21,36,LAL,NBA,PG,45,1504,.513,.591,.365,.576,.698,.602,.310,.346,.466,.530,.367,.538,.778,.572,.247,.392,110,111,100,107,90,105,126,88,62.6,56.5
2021-22,37,LAL,NBA,C,56,2084,.524,.620,.359,.590,.756,.619,.275,.367,.461,.533,.354,.532,.775,.566,.248,.399,114,116,102,111,98,109,111,92,142.6,145.5
2022-23,38,LAL,NBA,PF,55,1954,.500,.580,.321,.549,.768,.583,.268,.309,.475,.548,.361,.545,.782,.581,.266,.387,105,106,89,101,98,100,101,80,9.7,5.6
2023-24,39,LAL,NBA,PF,71,2504,.540,.592,.410,.599,.750,.630,.318,.286,.474,.545,.366,.547,.784,.580,.244,.395,114,109,112,110,96,109,130,72,131.9,143.8
