Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,CLE,NBA,SG,79,79,3122,7.2,17.2,.417,0.7,2.5,.290,6.4,14.7,.438,4.0,5.3,.754,1.1,3.8,5.0,5.4,1.5,0.7,3.1,1.7,19.1
2004-05,20,CLE,NBA,SF,80,80,3388,8.4,17.9,.472,1.1,3.3,.351,7.3,14.6,.499,5.1,6.8,.750,1.2,5.1,6.2,6.1,1.9,0.6,2.8,1.6,23.1
2005-06,21,CLE,NBA,SF,79,79,3361,9.4,19.5,.480,1.4,4.1,.335,8.0,15.5,.518,6.4,8.7,.738,0.8,5.2,6.0,5.6,1.3,0.7,2.8,1.9,26.5
2006-07,22,CLE,NBA,SF,78,78,3190,8.7,18.3,.476,1.1,3.5,.319,7.6,14.8,.513,5.5,7.9,.698,0.9,5.0,5.9,5.3,1.4,0.6,2.8,1.9,24.1
2007-08,23,CLE,NBA,SF,75,74,3027,9.4,19.5,.484,1.3,4.3,.315,8.1,15.3,.531,6.5,9.2,.712,1.6,5.5,7.0,6.4,1.6,1.0,3.0,2.0,26.8
2008-09,24,CLE,NBA,SF,81,81,3054,9.3,19.0,.489,1.6,4.5,.344,7.7,14.5,.535,7.0,9.0,.780,1.2,6.0,7.2,6.9,1.6,1.1,2.8,1.6,27.2
2009-10,25,CLE,NBA,SF,76,76,2966,9.3,18.5,.503,1.6,4.7,.333,7.8,13.8,.560,7.2,9.4,.767,0.9,5.9,6.7,7.9,1.5,0.9,3.2,1.4,27.4
2010-11,26,MIA,NBA,SF,79,79,3063,8.9,17.5,.510,1.1,3.3,.330,7.8,14.2,.552,5.9,7.8,.759,0.9,6.0,6.9,6.5,1.5,0.6,3.3,1.9,24.8
2011-12,27,MIA,NBA,SF,62,62,2326,9.6,18.1,.531,0.8,2.3,.362,8.8,15.8,.556,6.0,7.8,.771,1.5,6.2,7.6,6.0,1.8,0.8,3.3,1.5,26.0
2012-13,28,MIA,NBA,PF,76,76,2877,9.6,16.9,.565,1.3,3.2,.406,8.3,13.8,.602,5.0,6.7,.753,1.2,6.4,7.6,6.9,1.6,0.8,2.8,1.4,25.5
2013-14,29,MIA,NBA,PF,77,77,2902,9.5,16.8,.567,1.4,3.8,.379,8.1,13.0,.622,5.4,7.3,.750,1.0,5.6,6.6,6.1,1.5,0.3,3.3,1.6,25.9
2014-15,30,CLE,NBA,SF,69,69,2493,9.0,18.5,.488,1.7,4.9,.354,7.3,13.6,.536,5.4,7.6,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,1.9,25.2
2015-16,31,CLE,NBA,SF,76,76,2709,9.8,18.8,.520,1.2,3.7,.309,8.6,15.1,.573,4.8,6.5,.731,1.5,6.0,7.5,6.8,1.4,0.7,3.3,1.9,25.5
2016-17,32,CLE,NBA,SF,74,74,2794,9.5,17.3,.548,1.6,4.4,.363,7.9,12.9,.611,4.6,6.8,.674,1.2,7.0,8.2,8.3,1.2,0.6,3.9,1.7,25.2
2017-18,33,CLE,NBA,PF,82,82,3026,10.2,18.8,.542,1.8,4.8,.367,8.4,14.0,.603,4.6,6.3,.731,1.2,7.3,8.4,8.9,1.4,0.8,4.1,1.6,26.8
2018-19,34,LAL,NBA,SF,55,55,1937,10.4,20.4,.510,2.1,6.1,.339,8.3,14.3,.582,5.2,7.8,.665,1.1,7.6,8.6,8.4,1.3,0.6,3.7,1.7,28.0
2019-20,35,LAL,NBA,PG,67,67,2316,10.0,20.3,.493,2.3,6.6,.348,7.7,13.6,.564,4.1,5.9,.693,1.0,7.1,8.2,10.6,1.2,0.6,4.1,1.8,26.4
2020-21,36,LAL,NBA,PG,45,45,1504,10.1,19.7,.513,2.5,6.8,.365,7.6,12.9,.591,4.3,6.1,.698,0.7,7.6,8.3,8.4,1.1,0.6,4.0,1.7,27.0
2021-22,37,LAL,NBA,C,56,56,2084,11.1,21.1,.524,2.8,7.7,.359,8.3,13.4,.620,4.4,5.8,.756,1.1,6.8,7.9,6.0,1.3,1.0,3.4,2.1,29.3
2022-23,38,LAL,NBA,PF,55,54,1954,11.2,22.5,.500,2.2,6.9,.321,9.0,15.5,.580,4.6,6.0,.768,1.2,7.2,8.4,6.9,0.9,0.6,3.3,1.6,29.3
2023-24,39,LAL,NBA,PF,71,71,2504,9.8,18.2,.540,2.1,5.2,.410,7.7,13.0,.592,4.4,5.8,.750,0.9,6.6,7.4,8.5,1.3,0.5,3.5,1.1,26.2
