 Year, Age, Team, Lg, Round, W/L, Opp,Totals G,Totals W,Totals L,Totals MP,Totals FG,Totals FGA,Totals 3P,Totals 3PA,Totals FT,Totals FTA,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Totals PTS,Shooting FG%,Shooting 3P%,Shooting FT%,Per Game MP,Per Game PTS,Per Game TRB,Per Game AST
2006,21,CLE,2006,EC1,W(4-2),WAS,6,4,2,284,77,151,13,34,47,63,12,45,34,8,4,34,25,214,.510,.382,.746,47.3,35.7,7.5,5.7
2006,21,CLE,2006,ECS,L(3-4),DET,7,3,4,321,69,156,8,29,40,55,10,60,42,10,5,31,19,186,.442,.276,.727,45.9,26.6,8.6,6.0
2007,22,CLE,2007,EC1,W(4-0),WAS,4,4,0,182,34,80,4,15,39,48,9,34,30,7,3,7,9,111,.425,.267,.813,45.4,27.8,8.5,7.5
2007,22,CLE,2007,ECS,W(4-2),NJN,6,4,2,264,47,111,8,26,46,61,6,44,51,7,2,17,15,148,.423,.308,.754,44.0,24.7,7.3,8.5
2007,22,CLE,2007,ECF,W(4-2),DET,6,4,2,277,53,118,5,14,43,58,7,55,51,16,3,19,8,154,.449,.357,.741,46.2,25.7,9.2,8.5
2007,22,CLE,2007,FIN,L(0-4),SAS,4,0,4,170,32,90,4,20,20,29,4,28,27,4,2,23,8,88,.356,.200,.690,42.6,22.0,7.0,6.8
2008,23,CLE,2008,EC1,W(4-2),WAS,6,4,2,249,58,120,9,31,54,77,7,57,46,8,8,17,13,179,.483,.290,.701,41.5,29.8,9.5,7.7
2008,23,CLE,2008,ECS,L(3-4),BOS,7,3,4,303,55,155,9,39,68,90,9,45,53,15,9,37,20,187,.355,.231,.756,43.3,26.7,6.4,7.6
2009,24,CLE,2009,EC1,W(4-0),DET,4,4,0,162,39,77,3,17,47,59,4,45,30,6,3,6,5,128,.506,.176,.797,40.5,32.0,11.3,7.5
2009,24,CLE,2009,ECS,W(4-0),ATL,4,4,0,152,45,81,13,27,32,46,5,33,24,10,2,7,6,135,.556,.481,.696,38.0,33.8,8.3,6.0
2009,24,CLE,2009,ECF,L(2-4),ORL,6,2,4,266,75,154,11,37,70,94,10,50,48,7,7,25,19,231,.487,.297,.745,44.3,38.5,8.3,8.0
2010,25,CLE,2010,EC1,W(4-1),CHI,5,4,1,205,55,97,13,24,36,50,6,46,41,6,12,15,11,159,.567,.542,.720,41.0,31.8,9.2,8.2
2010,25,CLE,2010,ECS,L(2-4),BOS,6,2,4,255,51,114,7,26,52,70,9,56,43,13,8,27,12,161,.447,.269,.743,42.5,26.8,9.3,7.2
2011,26,MIA,2011,EC1,W(4-1),PHI,5,4,1,211,38,81,4,16,41,50,11,53,31,4,4,7,9,121,.469,.250,.820,42.2,24.2,10.6,6.2
2011,26,MIA,2011,ECS,W(4-1),BOS,5,4,1,223,51,108,10,23,28,42,10,41,18,9,9,17,12,140,.472,.435,.667,44.6,28.0,8.2,3.6
2011,26,MIA,2011,ECF,W(4-1),CHI,5,4,1,226,42,94,7,18,38,44,7,39,33,12,9,18,15,129,.447,.389,.864,45.2,25.8,7.8,6.6
2011,26,MIA,2011,FIN,L(2-4),DAL,6,2,4,262,43,90,9,28,12,20,6,43,41,10,3,24,20,107,.478,.321,.600,43.6,17.8,7.2,6.8
2012,27,MIA,2012,EC1,W(4-1),NYK,5,4,1,189,43,90,7,20,46,57,5,31,28,11,1,21,14,139,.478,.350,.807,37.8,27.8,6.2,5.6
2012,27,MIA,2012,ECS,W(4-2),IND,6,4,2,253,70,139,3,18,37,51,21,65,37,16,4,17,5,180,.504,.167,.725,42.2,30.0,10.8,6.2
2012,27,MIA,2012,ECF,W(4-3),BOS,7,4,3,321,87,165,9,31,52,80,13,77,27,8,9,24,18,235,.527,.290,.650,45.8,33.6,11.0,3.9
2012,27,MIA,2012,FIN,W(4-1),OKC,5,4,1,220,51,108,3,16,38,46,15,51,37,8,2,19,10,143,.472,.188,.826,44.1,28.6,10.2,7.4
2013,28,MIA,2013,EC1,W(4-0),MIL,4,4,0,147,37,59,3,11,21,30,5,31,27,4,1,19,9,98,.627,.273,.700,36.8,24.5,7.8,6.8
2013,28,MIA,2013,ECS,W(4-1),CHI,5,4,1,208,35,80,6,17,42,52,2,35,39,11,1,13,6,118,.438,.353,.808,41.7,23.6,7.0,7.8
