Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,C. Lee(0-0),0,2025
2023-24,NBA,Charlotte Hornets,21,61,.256,4th of 5,-10.12,97.3,-1.2,109.3,-6.0,119.8,4.5,0,S. Clifford(21-61),N. Richards(5.1),2024
2022-23,NBA,Charlotte Hornets,27,55,.329,5th of 5,-5.89,100.8,1.7,109.2,-5.6,115.3,0.5,0,S. Clifford(27-55),M. Plumlee(6.1),2023
2021-22,NBA,Charlotte Hornets,43,39,.524,3rd of 5,0.53,100.0,1.8,114.1,2.1,113.7,1.7,0,J. Borrego(43-39),M. Bridges(7.2),2022
2020-21,NBA,Charlotte Hornets,33,39,.458,4th of 5,-1.94,98.3,-0.9,110.9,-1.4,112.8,0.5,0,J. Borrego(33-39),T. Rozier(5.2),2021
2019-20,NBA,Charlotte Hornets,23,42,.354,3rd of 5,-7.03,95.8,-4.5,106.3,-4.3,113.3,2.7,0,J. Borrego(23-42),C. Zeller(3.6),2020
2018-19,NBA,Charlotte Hornets,39,43,.476,2nd of 5,-1.32,98.7,-1.3,111.4,1.0,112.5,2.1,0,J. Borrego(39-43),K. Walker(7.4),2019
2017-18,NBA,Charlotte Hornets,36,46,.439,3rd of 5,0.07,98.4,1.1,109.4,0.8,109.1,0.5,0,S. Clifford(36-46),K. Walker(8.6),2018
2016-17,NBA,Charlotte Hornets,36,46,.439,4th of 5,-0.07,95.7,-0.7,108.8,0.0,108.6,-0.2,0,S. Clifford(36-46),K. Walker(8.1),2017
2015-16,NBA,Charlotte Hornets*,48,34,.585,3rd of 5,2.36,95.7,-0.1,107.1,0.7,104.3,-2.1,Lost E. Conf. 1st Rnd.,S. Clifford(48-34),K. Walker(9.9),2016
2014-15,NBA,Charlotte Hornets,33,49,.402,4th of 5,-3.44,93.0,-0.9,100.1,-5.5,103.5,-2.1,0,S. Clifford(33-49),A. Jefferson(4.7),2015
2013-14,NBA,Charlotte Bobcats*,43,39,.524,3rd of 5,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9,Lost E. Conf. 1st Rnd.,S. Clifford(43-39),A. Jefferson(7.8),2014
2012-13,NBA,Charlotte Bobcats,21,61,.256,4th of 5,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6,0,M. Dunlap(21-61),K. Walker(4.8),2013
2011-12,NBA,Charlotte Bobcats,7,59,.106,5th of 5,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8,0,P. Silas(7-59),D. Brown(2.3),2012
2010-11,NBA,Charlotte Bobcats,34,48,.415,4th of 5,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5,0,"L. Brown(9-19),P. Silas(25-29)",D. Augustin(6.2),2011
2009-10,NBA,Charlotte Bobcats*,44,38,.537,4th of 5,1.30,90.4,-2.3,104.4,-3.2,102.8,-4.8,Lost E. Conf. 1st Rnd.,L. Brown(44-38),G. Wallace(11.5),2010
2008-09,NBA,Charlotte Bobcats,35,47,.427,4th of 5,-1.20,88.3,-3.4,104.7,-3.6,106.1,-2.2,0,L. Brown(35-47),G. Wallace(9.5),2009
2007-08,NBA,Charlotte Bobcats,32,50,.390,4th of 5,-4.49,91.8,-0.6,104.6,-2.9,109.4,1.9,0,S. Vincent(32-50),J. Richardson(7.4),2008
2006-07,NBA,Charlotte Bobcats,33,49,.402,4th of 5,-3.97,92.0,0.1,103.6,-2.9,107.6,1.1,0,B. Bickerstaff(33-49),G. Wallace(7.7),2007
2005-06,NBA,Charlotte Bobcats,26,56,.317,4th of 5,-3.90,93.4,2.9,102.5,-3.7,106.7,0.5,0,B. Bickerstaff(26-56),G. Wallace(6.4),2006
