Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,R. Carlisle(0-0),0,2025
2023-24,NBA,Indiana Pacers*,47,35,.573,3rd of 5,2.75,101.7,3.2,121.0,5.7,118.0,2.7,Lost E. Conf. Finals,R. Carlisle(47-35),T. Haliburton(9.0),2024
2022-23,NBA,Indiana Pacers,35,47,.427,4th of 5,-2.91,101.1,2.0,114.6,-0.2,117.7,2.9,0,R. Carlisle(35-47),T. Haliburton(7.6),2023
2021-22,NBA,Indiana Pacers,25,57,.305,4th of 5,-3.26,98.0,-0.2,112.6,0.6,116.1,4.1,0,R. Carlisle(25-57),D. Sabonis(5.7),2022
2020-21,NBA,Indiana Pacers,34,38,.472,2nd of 5,-0.13,101.6,2.4,112.4,0.1,112.4,0.1,0,N. Bjorkgren(34-38),D. Sabonis(6.9),2021
2019-20,NBA,Indiana Pacers*,45,28,.616,2nd of 5,1.63,98.9,-1.4,110.0,-0.6,108.0,-2.6,Lost E. Conf. 1st Rnd.,N. McMillan(45-28),D. Sabonis(7.5),2020
2018-19,NBA,Indiana Pacers*,48,34,.585,2nd of 5,2.76,98.1,-1.9,109.9,-0.5,106.5,-3.9,Lost E. Conf. 1st Rnd.,N. McMillan(48-34),D. Sabonis(7.6),2019
2017-18,NBA,Indiana Pacers*,48,34,.585,2nd of 5,1.18,96.0,-1.3,109.5,0.9,108.1,-0.5,Lost E. Conf. 1st Rnd.,N. McMillan(48-34),V. Oladipo(8.2),2018
2016-17,NBA,Indiana Pacers*,42,40,.512,3rd of 5,-0.64,95.9,-0.5,108.6,-0.2,108.8,0.0,Lost E. Conf. 1st Rnd.,N. McMillan(42-40),J. Teague(8.1),2017
2015-16,NBA,Indiana Pacers*,45,37,.549,2nd of 5,1.62,96.6,0.8,104.6,-1.8,102.9,-3.5,Lost E. Conf. 1st Rnd.,F. Vogel(45-37),P. George(9.2),2016
2014-15,NBA,Indiana Pacers,38,44,.463,4th of 5,-0.23,93.2,-0.7,103.5,-2.1,103.2,-2.4,0,F. Vogel(38-44),G. Hill(5.4),2015
2013-14,NBA,Indiana Pacers*,56,26,.683,1st of 5,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel(56-26),P. George(10.8),2014
2012-13,NBA,Indiana Pacers*,49,32,.605,1st of 5,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel(49-32),G. Hill(9.7),2013
2011-12,NBA,Indiana Pacers*,42,24,.636,2nd of 5,2.60,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel(42-24),D. Granger(6.7),2012
2010-11,NBA,Indiana Pacers*,37,45,.451,2nd of 5,-1.38,94.7,2.6,104.8,-2.5,106.0,-1.3,Lost E. Conf. 1st Rnd.,"J. O'Brien(17-27),F. Vogel(20-18)",D. Granger(6.9),2011
2009-10,NBA,Indiana Pacers,32,50,.390,4th of 5,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,0,J. O'Brien(32-50),T. Murphy(7.8),2010
2008-09,NBA,Indiana Pacers,36,46,.439,4th of 5,-0.76,96.5,4.8,108.1,-0.2,109.2,0.9,0,J. O'Brien(36-46),T. Murphy(8.5),2009
2007-08,NBA,Indiana Pacers,36,46,.439,3rd of 5,-1.87,97.7,5.3,106.0,-1.5,107.5,0.0,0,J. O'Brien(36-46),M. Dunleavy(8.5),2008
2006-07,NBA,Indiana Pacers,35,47,.427,4th of 5,-2.62,92.4,0.5,102.9,-3.6,105.5,-1.0,0,R. Carlisle(35-47),D. Granger(6.5),2007
2005-06,NBA,Indiana Pacers*,41,41,.500,3rd of 5,1.62,89.7,-0.8,104.5,-1.7,102.4,-3.8,Lost E. Conf. 1st Rnd.,R. Carlisle(41-41),J. Foster(5.7),2006
2004-05,NBA,Indiana Pacers*,44,38,.537,3rd of 5,0.49,87.2,-3.7,105.5,-0.6,104.6,-1.5,Lost E. Conf. Semis,R. Carlisle(44-38),R. Miller(6.6),2005
2003-04,NBA,Indiana Pacers*,61,21,.744,1st of 8,4.93,87.5,-2.6,103.8,0.9,97.2,-5.7,Lost E. Conf. Finals,R. Carlisle(61-21),J. O'Neal(9.0),2004
2002-03,NBA,Indiana Pacers*,48,34,.585,2nd of 8,2.79,91.6,0.6,104.6,1.0,100.8,-2.8,Lost E. Conf. 1st Rnd.,I. Thomas(48-34),J. O'Neal(10.5),2003
2001-02,NBA,Indiana Pacers*,42,40,.512,4th of 8,-0.07,91.9,1.2,104.1,-0.4,103.8,-0.7,Lost E. Conf. 1st Rnd.,I. Thomas(42-40),R. Miller(9.5),2002
2000-01,NBA,Indiana Pacers*,41,41,.500,4th of 8,-0.77,89.4,-1.9,102.0,-1.0,102.2,-0.8,Lost E. Conf. 1st Rnd.,I. Thomas(41-41),R. Miller(10.3),2001
1999-00,NBA,Indiana Pacers*,56,26,.683,1st of 8,4.15,93.1,0.0,108.5,4.4,103.6,-0.5,Lost Finals,L. Bird(56-26),R. Miller(10.1),1900
1998-99,NBA,Indiana Pacers*,33,17,.660,1st of 8,3.86,86.4,-2.5,108.7,6.5,104.4,2.2,Lost E. Conf. Finals,L. Bird(33-17),R. Miller(6.4),1999
1997-98,NBA,Indiana Pacers*,58,24,.707,2nd of 8,6.25,87.9,-2.4,108.4,3.4,101.6,-3.4,Lost E. Conf. Finals,L. Bird(58-24),R. Miller(12.0),1998
1996-97,NBA,Indiana Pacers,39,43,.476,6th of 8,1.49,89.0,-1.1,105.8,-0.9,104.7,-2.0,0,L. Brown(39-43),R. Miller(12.3),1997
