Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,T. Jenkins(0-0),0,2025
2023-24,NBA,Memphis Grizzlies,27,55,.329,4th of 5,-6.57,98.2,-0.3,107.2,-8.1,114.3,-1.0,0,T. Jenkins(27-55),D. Bane(3.1),2024
2022-23,NBA,Memphis Grizzlies*,51,31,.622,1st of 5,3.60,101.1,2.0,115.1,0.3,111.2,-3.6,Lost W. Conf. 1st Rnd.,T. Jenkins(51-31),J. Jackson(6.6),2023
2021-22,NBA,Memphis Grizzlies*,56,26,.683,1st of 5,5.37,100.3,2.1,114.6,2.6,109.0,-3.0,Lost W. Conf. Semis,T. Jenkins(56-26),D. Bane(7.2),2022
2020-21,NBA,Memphis Grizzlies*,38,34,.528,2nd of 5,1.07,100.4,1.2,112.0,-0.3,111.0,-1.3,Lost W. Conf. 1st Rnd.,T. Jenkins(38-34),J. Valančiūnas(7.8),2021
2019-20,NBA,Memphis Grizzlies,34,39,.466,3rd of 5,-0.91,102.8,2.5,109.2,-1.4,110.3,-0.3,0,T. Jenkins(34-39),J. Valančiūnas(7.0),2020
2018-19,NBA,Memphis Grizzlies,33,49,.402,3rd of 5,-2.08,96.6,-3.4,106.1,-4.3,108.8,-1.6,0,J. Bickerstaff(33-49),M. Conley(8.0),2019
2017-18,NBA,Memphis Grizzlies,22,60,.268,5th of 5,-5.81,94.9,-2.4,104.5,-4.1,111.0,2.4,0,"D. Fizdale(7-12),J. Bickerstaff(15-48)",T. Evans(4.2),2018
2016-17,NBA,Memphis Grizzlies*,43,39,.524,3rd of 5,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,Lost W. Conf. 1st Rnd.,D. Fizdale(43-39),M. Conley(10.0),2017
2015-16,NBA,Memphis Grizzlies*,42,40,.512,3rd of 5,-2.14,93.3,-2.5,105.4,-1.0,107.8,1.4,Lost W. Conf. 1st Rnd.,D. Joerger(42-40),M. Conley(5.3),2016
2014-15,NBA,Memphis Grizzlies*,55,27,.671,2nd of 5,3.62,92.0,-1.9,105.7,0.1,102.2,-3.4,Lost W. Conf. Semis,D. Joerger(55-27),M. Gasol(10.2),2015
2013-14,NBA,Memphis Grizzlies*,50,32,.610,3rd of 5,2.18,89.9,-4.0,106.3,-0.4,104.6,-2.1,Lost W. Conf. 1st Rnd.,D. Joerger(50-32),M. Conley(8.2),2014
