Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,E. Spoelstra(0-0),0,2025
2023-24,NBA,Miami Heat*,46,36,.561,2nd of 5,1.10,96.2,-2.3,114.0,-1.3,112.2,-3.1,Lost E. Conf. 1st Rnd.,E. Spoelstra(46-36),J. Butler(9.1),2024
2022-23,NBA,Miami Heat*,44,38,.537,1st of 5,-0.13,96.3,-2.8,113.0,-1.8,113.3,-1.5,Lost Finals,E. Spoelstra(44-38),J. Butler(12.3),2023
2021-22,NBA,Miami Heat*,53,29,.646,1st of 5,4.23,95.9,-2.3,113.7,1.7,109.1,-2.9,Lost E. Conf. Finals,E. Spoelstra(53-29),J. Butler(9.2),2022
2020-21,NBA,Miami Heat*,40,32,.556,2nd of 5,-0.06,96.6,-2.6,111.2,-1.1,111.2,-1.1,Lost E. Conf. 1st Rnd.,E. Spoelstra(40-32),J. Butler(9.3),2021
2019-20,NBA,Miami Heat*,44,29,.603,1st of 5,2.59,98.3,-2.0,112.5,1.9,109.5,-1.1,Lost Finals,E. Spoelstra(44-29),J. Butler(9.0),2020
2018-19,NBA,Miami Heat,39,43,.476,3rd of 5,-0.45,98.2,-1.8,107.3,-3.1,107.6,-2.8,0,E. Spoelstra(39-43),B. Adebayo(6.8),2019
2017-18,NBA,Miami Heat*,44,38,.537,1st of 5,0.15,95.6,-1.7,106.8,-1.8,106.3,-2.3,Lost E. Conf. 1st Rnd.,E. Spoelstra(44-38),K. Olynyk(5.5),2018
2016-17,NBA,Miami Heat,41,41,.500,3rd of 5,0.77,95.2,-1.2,107.8,-1.0,106.7,-2.1,0,E. Spoelstra(41-41),H. Whiteside(9.5),2017
2015-16,NBA,Miami Heat*,48,34,.585,1st of 5,1.50,93.6,-2.2,106.1,-0.3,104.4,-2.0,Lost E. Conf. Semis,E. Spoelstra(48-34),H. Whiteside(10.3),2016
2014-15,NBA,Miami Heat,37,45,.451,3rd of 5,-2.92,90.9,-3.0,103.9,-1.7,106.7,1.1,0,E. Spoelstra(37-45),L. Deng(5.4),2015
2013-14,NBA,Miami Heat*,54,28,.659,1st of 5,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,Lost Finals,E. Spoelstra(54-28),L. James(15.9),2014
2012-13,NBA,Miami Heat*,66,16,.805,1st of 5,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,Won Finals,E. Spoelstra(66-16),L. James(19.3),2013
2011-12,NBA,Miami Heat*,46,20,.697,1st of 5,5.72,91.2,-0.1,106.6,2.0,100.2,-4.4,Won Finals,E. Spoelstra(46-20),L. James(14.5),2012
2010-11,NBA,Miami Heat*,58,24,.707,1st of 5,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,Lost Finals,E. Spoelstra(58-24),L. James(15.6),2011
2009-10,NBA,Miami Heat*,47,35,.573,3rd of 5,1.99,89.6,-3.1,106.6,-1.0,104.1,-3.5,Lost E. Conf. 1st Rnd.,E. Spoelstra(47-35),D. Wade(13.0),2010
2008-09,NBA,Miami Heat*,43,39,.524,3rd of 5,0.49,89.9,-1.8,107.8,-0.5,107.6,-0.7,Lost E. Conf. 1st Rnd.,E. Spoelstra(43-39),D. Wade(14.7),2009
2007-08,NBA,Miami Heat,15,67,.183,5th of 5,-8.53,90.2,-2.2,100.5,-7.0,110.0,2.5,0,P. Riley(15-67),D. Wade(3.3),2008
2006-07,NBA,Miami Heat*,44,38,.537,1st of 5,-1.21,89.9,-2.0,104.3,-2.2,105.3,-1.2,Lost E. Conf. 1st Rnd.,P. Riley(44-38),D. Wade(8.8),2007
2005-06,NBA,Miami Heat*,52,30,.634,1st of 5,3.59,91.6,1.1,108.7,2.5,104.5,-1.7,Won Finals,"S. Van Gundy(11-10),P. Riley(41-20)",D. Wade(14.4),2006
2004-05,NBA,Miami Heat*,59,23,.720,1st of 5,5.77,90.8,-0.1,110.2,4.1,103.1,-3.0,Lost E. Conf. Finals,S. Van Gundy(59-23),D. Wade(11.0),2005
2003-04,NBA,Miami Heat*,42,40,.512,2nd of 7,-0.13,88.0,-2.1,102.2,-0.7,101.7,-1.2,Lost E. Conf. Semis,S. Van Gundy(42-40),E. Jones(9.1),2004
2002-03,NBA,Miami Heat,25,57,.305,7th of 7,-5.13,87.8,-3.2,96.7,-6.9,102.4,-1.2,0,P. Riley(25-57),B. Grant(7.7),2003
2001-02,NBA,Miami Heat,36,46,.439,6th of 7,-1.84,87.4,-3.3,98.5,-6.0,100.2,-4.3,0,P. Riley(36-46),E. Jones(10.5),2002
2000-01,NBA,Miami Heat*,50,32,.610,2nd of 7,1.73,87.1,-4.2,101.1,-1.9,98.5,-4.5,Lost E. Conf. 1st Rnd.,P. Riley(50-32),A. Mason(11.6),2001
1999-00,NBA,Miami Heat*,52,30,.634,1st of 7,2.75,89.7,-3.4,104.5,0.4,101.0,-3.1,Lost E. Conf. Semis,P. Riley(52-30),A. Mourning(12.9),1900
1998-99,NBA,Miami Heat*,33,17,.660,1st of 7,5.11,84.8,-4.1,104.7,2.5,98.9,-3.3,Lost E. Conf. 1st Rnd.,P. Riley(33-17),A. Mourning(7.9),1999
1997-98,NBA,Miami Heat*,55,27,.671,1st of 7,5.09,87.9,-2.4,107.6,2.6,102.0,-3.0,Lost E. Conf. 1st Rnd.,P. Riley(55-27),T. Hardaway(11.7),1998
1996-97,NBA,Miami Heat*,61,21,.744,1st of 7,5.56,88.2,-1.9,106.8,0.1,100.6,-6.1,Lost E. Conf. Finals,P. Riley(61-21),T. Hardaway(12.9),1997
1995-96,NBA,Miami Heat*,42,40,.512,3rd of 7,1.46,91.1,-0.7,105.3,-2.3,103.8,-3.8,Lost E. Conf. 1st Rnd.,P. Riley(42-40),A. Mourning(9.9),1996
1994-95,NBA,Miami Heat,32,50,.390,4th of 7,-1.85,92.9,0.0,108.2,-0.1,109.9,1.6,0,"K. Loughery(17-29),A. Gentry(15-21)",G. Rice(10.0),1995
1993-94,NBA,Miami Heat*,42,40,.512,4th of 7,2.40,93.8,-1.3,109.5,3.2,106.7,0.4,Lost E. Conf. 1st Rnd.,K. Loughery(42-40),G. Rice(10.2),1994
1992-93,NBA,Miami Heat,36,46,.439,5th of 7,-0.93,94.6,-2.2,107.7,-0.3,108.9,0.9,0,K. Loughery(36-46),G. Long(6.5),1993
1991-92,NBA,Miami Heat*,38,44,.463,4th of 7,-3.94,97.7,1.1,106.7,-1.5,110.9,2.7,Lost E. Conf. 1st Rnd.,K. Loughery(38-44),G. Rice(7.9),1992
1990-91,NBA,Miami Heat,24,58,.293,6th of 6,-5.91,99.3,1.5,102.0,-5.9,108.1,0.2,0,R. Rothstein(24-58),S. Douglas(5.4),1991
1989-90,NBA,Miami Heat,18,64,.220,5th of 6,-9.59,101.0,2.7,99.3,-8.8,108.9,0.8,0,R. Rothstein(18-64),S. Douglas(4.4),1990
1988-89,NBA,Miami Heat,15,67,.183,6th of 6,-11.13,99.1,-1.5,97.8,-10.0,109.0,1.2,0,R. Rothstein(15-67),G. Long(4.6),1989
