Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,D. Rivers(0-0),0,2025
2023-24,NBA,Milwaukee Bucks*,49,33,.598,1st of 5,2.44,99.9,1.4,118.4,3.1,115.8,0.5,Lost E. Conf. 1st Rnd.,"A. Griffin(30-13),J. Prunty(2-1),D. Rivers(17-19)",G. Antetokounmpo(13.2),2024
2022-23,NBA,Milwaukee Bucks*,58,24,.707,1st of 5,3.61,100.5,1.4,115.4,0.6,111.9,-2.9,Lost E. Conf. 1st Rnd.,M. Budenholzer(58-24),G. Antetokounmpo(8.6),2023
2021-22,NBA,Milwaukee Bucks*,51,31,.622,1st of 5,3.22,99.9,1.7,115.1,3.1,111.8,-0.2,Lost E. Conf. Semis,M. Budenholzer(51-31),G. Antetokounmpo(12.9),2022
2020-21,NBA,Milwaukee Bucks*,46,26,.639,1st of 5,5.57,102.2,3.0,117.2,4.9,111.4,-0.9,Won Finals,M. Budenholzer(46-26),G. Antetokounmpo(10.2),2021
2019-20,NBA,Milwaukee Bucks*,56,17,.767,1st of 5,9.41,105.1,4.8,112.4,1.8,102.9,-7.7,Lost E. Conf. Semis,M. Budenholzer(56-17),G. Antetokounmpo(11.1),2020
2018-19,NBA,Milwaukee Bucks*,60,22,.732,1st of 5,8.04,103.3,3.3,113.8,3.4,105.2,-5.2,Lost E. Conf. Finals,M. Budenholzer(60-22),G. Antetokounmpo(14.4),2019
2017-18,NBA,Milwaukee Bucks*,44,38,.537,3rd of 5,-0.45,96.2,-1.1,109.8,1.2,110.1,1.5,Lost E. Conf. 1st Rnd.,"J. Kidd(23-22),J. Prunty(21-16)",G. Antetokounmpo(11.9),2018
2016-17,NBA,Milwaukee Bucks*,42,40,.512,2nd of 5,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5,Lost E. Conf. 1st Rnd.,J. Kidd(42-40),G. Antetokounmpo(12.4),2017
2015-16,NBA,Milwaukee Bucks,33,49,.402,5th of 5,-3.98,94.2,-1.6,104.3,-2.1,108.7,2.3,0,J. Kidd(33-49),G. Monroe(7.5),2016
2014-15,NBA,Milwaukee Bucks*,41,41,.500,3rd of 5,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4,Lost E. Conf. 1st Rnd.,J. Kidd(41-41),K. Middleton(6.7),2015
2013-14,NBA,Milwaukee Bucks,15,67,.183,5th of 5,-8.41,91.8,-2.1,103.0,-3.7,111.8,5.1,0,L. Drew(15-67),J. Henson(3.3),2014
2012-13,NBA,Milwaukee Bucks*,38,44,.463,3rd of 5,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,Lost E. Conf. 1st Rnd.,"S. Skiles(16-16),J. Boylan(22-28)",E. İlyasova(6.7),2013
2011-12,NBA,Milwaukee Bucks,31,35,.470,3rd of 5,-0.23,93.7,2.4,105.5,0.9,105.2,0.6,0,S. Skiles(31-35),E. İlyasova(6.4),2012
2010-11,NBA,Milwaukee Bucks,35,47,.427,3rd of 5,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8,0,S. Skiles(35-47),A. Bogut(5.4),2011
