Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,W. Green(0-0),0,2025
2023-24,NBA,New Orleans Pelicans*,49,33,.598,2nd of 5,4.46,97.9,-0.6,117.4,2.1,112.9,-2.4,Lost W. Conf. 1st Rnd.,W. Green(49-33),Z. Williamson(7.5),2024
2022-23,NBA,New Orleans Pelicans,42,40,.512,2nd of 5,1.63,99.1,0.0,114.4,-0.4,112.5,-2.3,0,W. Green(42-40),T. Murphy(7.6),2023
2021-22,NBA,New Orleans Pelicans*,36,46,.439,3rd of 5,-0.84,97.2,-1.0,112.0,0.0,113.0,1.0,Lost W. Conf. 1st Rnd.,W. Green(36-46),J. Valančiūnas(7.3),2022
2020-21,NBA,New Orleans Pelicans,31,41,.431,4th of 5,-0.20,100.1,0.9,113.5,1.2,113.8,1.5,0,S. Van Gundy(31-41),Z. Williamson(8.7),2021
2019-20,NBA,New Orleans Pelicans,30,42,.417,5th of 5,-0.55,103.7,3.4,110.7,0.1,111.9,1.3,0,A. Gentry(30-42),B. Ingram(5.1),2020
2018-19,NBA,New Orleans Pelicans,33,49,.402,4th of 5,-1.10,103.3,3.3,111.4,1.0,112.6,2.2,0,A. Gentry(33-49),A. Davis(9.5),2019
2017-18,NBA,New Orleans Pelicans*,48,34,.585,2nd of 5,1.48,100.5,3.2,109.6,1.0,108.3,-0.3,Lost W. Conf. Semis,A. Gentry(48-34),A. Davis(13.7),2018
2016-17,NBA,New Orleans Pelicans,34,48,.415,4th of 5,-1.69,98.0,1.6,105.2,-3.6,107.4,-1.4,0,A. Gentry(34-48),A. Davis(11.0),2017
2015-16,NBA,New Orleans Pelicans,30,52,.366,5th of 5,-3.56,96.8,1.0,105.6,-0.8,109.5,3.1,0,A. Gentry(30-52),A. Davis(7.2),2016
2014-15,NBA,New Orleans Pelicans*,45,37,.549,5th of 5,1.13,91.4,-2.5,108.2,2.6,107.3,1.7,Lost W. Conf. 1st Rnd.,M. Williams(45-37),A. Davis(14.0),2015
2013-14,NBA,New Orleans Pelicans,34,48,.415,5th of 5,-1.98,92.2,-1.7,107.2,0.5,110.1,3.4,0,M. Williams(34-48),A. Davis(10.4),2014
2012-13,NBA,New Orleans Hornets,27,55,.329,5th of 5,-3.12,88.5,-3.5,105.7,-0.2,110.1,4.2,0,M. Williams(27-55),R. Anderson(6.5),2013
2011-12,NBA,New Orleans Hornets,21,45,.318,5th of 5,-3.11,88.3,-3.0,100.9,-3.7,105.1,0.5,0,M. Williams(21-45),J. Jack(3.8),2012
2010-11,NBA,New Orleans Hornets*,46,36,.561,3rd of 5,1.28,88.7,-3.4,106.2,-1.1,105.2,-2.1,Lost W. Conf. 1st Rnd.,M. Williams(46-36),C. Paul(13.9),2011
2009-10,NBA,New Orleans Hornets,37,45,.451,5th of 5,-2.27,92.6,-0.1,107.4,-0.2,110.1,2.5,0,"B. Scott(3-6),J. Bower(34-39)",D. West(7.5),2010
2008-09,NBA,New Orleans Hornets*,49,33,.598,4th of 5,1.41,87.8,-3.9,108.7,0.4,107.0,-1.3,Lost W. Conf. 1st Rnd.,B. Scott(49-33),C. Paul(18.3),2009
2007-08,NBA,New Orleans Hornets*,56,26,.683,1st of 5,5.46,89.9,-2.5,111.5,4.0,105.7,-1.8,Lost W. Conf. Semis,B. Scott(56-26),C. Paul(17.8),2008
2006-07,NBA,New Orleans/Oklahoma City Hornets,39,43,.476,4th of 5,-1.19,90.2,-1.7,104.8,-1.7,106.5,0.0,0,B. Scott(39-43),C. Paul(8.8),2007
2005-06,NBA,New Orleans/Oklahoma City Hornets,38,44,.463,4th of 5,-2.51,89.0,-1.5,103.7,-2.5,106.8,0.6,0,B. Scott(38-44),C. Paul(10.4),2006
2004-05,NBA,New Orleans Hornets,18,64,.220,5th of 5,-6.30,87.6,-3.3,99.7,-6.4,107.7,1.6,0,B. Scott(18-64),P. Brown(6.9),2005
2003-04,NBA,New Orleans Hornets*,41,41,.500,3rd of 8,-0.72,89.1,-1.0,102.3,-0.6,102.4,-0.5,Lost E. Conf. 1st Rnd.,T. Floyd(41-41),P. Brown(8.1),2004
2002-03,NBA,New Orleans Hornets*,47,35,.573,3rd of 8,1.52,89.4,-1.6,103.9,0.3,101.6,-2.0,Lost E. Conf. 1st Rnd.,P. Silas(47-35),P. Brown(10.2),2003
