Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,T. Thibodeau(0-0),0,2025
2023-24,NBA,New York Knicks*,50,32,.610,2nd of 5,4.36,95.2,-3.3,118.2,2.9,113.4,-1.9,Lost E. Conf. Semis,T. Thibodeau(50-32),J. Brunson(11.2),2024
2022-23,NBA,New York Knicks*,47,35,.573,3rd of 5,2.99,97.1,-2.0,117.8,3.0,114.8,0.0,Lost E. Conf. Semis,T. Thibodeau(47-35),J. Brunson(8.7),2023
2021-22,NBA,New York Knicks,37,45,.451,5th of 5,-0.01,95.9,-2.3,110.4,-1.6,110.5,-1.5,0,T. Thibodeau(37-45),M. Robinson(8.5),2022
2020-21,NBA,New York Knicks*,41,31,.569,3rd of 5,2.13,95.9,-3.3,110.6,-1.7,108.2,-4.1,Lost E. Conf. 1st Rnd.,T. Thibodeau(41-31),J. Randle(7.8),2021
2019-20,NBA,New York Knicks,21,45,.318,5th of 5,-6.72,98.6,-1.7,106.5,-4.1,113.0,2.4,0,"D. Fizdale(4-18),M. Miller(17-27)",M. Robinson(6.8),2020
2018-19,NBA,New York Knicks,17,65,.207,5th of 5,-8.93,99.6,-0.4,104.5,-5.9,113.7,3.3,0,D. Fizdale(17-65),M. Robinson(6.1),2019
2017-18,NBA,New York Knicks,29,53,.354,4th of 5,-3.53,96.8,-0.5,107.1,-1.5,110.7,2.1,0,J. Hornacek(29-53),E. Freedom(7.6),2018
2016-17,NBA,New York Knicks,31,51,.378,3rd of 5,-3.87,96.0,-0.4,107.7,-1.1,111.5,2.7,0,J. Hornacek(31-51),C. Anthony(4.7),2017
2015-16,NBA,New York Knicks,32,50,.390,3rd of 5,-2.74,93.4,-2.4,104.6,-1.8,107.6,1.2,0,"D. Fisher(23-31),K. Rambis(9-19)",C. Anthony(6.4),2016
2014-15,NBA,New York Knicks,17,65,.207,5th of 5,-9.50,91.2,-2.7,99.9,-5.7,110.0,4.4,0,D. Fisher(17-65),C. Anthony(2.9),2015
2013-14,NBA,New York Knicks,37,45,.451,3rd of 5,-1.40,90.3,-3.6,108.3,1.6,109.1,2.4,0,M. Woodson(37-45),C. Anthony(10.7),2014
2012-13,NBA,New York Knicks*,54,28,.659,1st of 5,3.73,89.8,-2.2,111.1,5.2,106.3,0.4,Lost E. Conf. Semis,M. Woodson(54-28),C. Anthony(9.5),2013
2011-12,NBA,New York Knicks*,36,30,.545,2nd of 5,2.39,93.2,1.9,104.4,-0.2,101.0,-3.6,Lost E. Conf. 1st Rnd.,"M. D'Antoni(18-24),M. Woodson(18-6)",T. Chandler(9.5),2012
2010-11,NBA,New York Knicks*,42,40,.512,2nd of 5,0.48,95.6,3.5,110.9,3.6,110.1,2.8,Lost E. Conf. 1st Rnd.,M. D'Antoni(42-40),A. Stoudemire(8.0),2011
2009-10,NBA,New York Knicks,29,53,.354,3rd of 5,-4.01,94.0,1.3,107.6,0.0,111.6,4.0,0,M. D'Antoni(29-53),D. Lee(10.3),2010
2008-09,NBA,New York Knicks,32,50,.390,5th of 5,-2.33,96.7,5.0,108.1,-0.2,110.8,2.5,0,M. D'Antoni(32-50),D. Lee(9.0),2009
2007-08,NBA,New York Knicks,23,59,.280,5th of 5,-6.55,91.6,-0.8,104.7,-2.8,111.9,4.4,0,I. Thomas(23-59),D. Lee(7.4),2008
2006-07,NBA,New York Knicks,33,49,.402,4th of 5,-3.06,90.8,-1.1,105.7,-0.8,108.8,2.3,0,I. Thomas(33-49),D. Lee(6.9),2007
