Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,M. Budenholzer(0-0),0,2025
2023-24,NBA,Phoenix Suns*,49,33,.598,2nd of 5,3.08,98.3,-0.2,117.6,2.3,114.6,-0.7,Lost W. Conf. 1st Rnd.,F. Vogel(49-33),D. Booker(9.2),2024
2022-23,NBA,Phoenix Suns*,45,37,.549,2nd of 5,2.08,98.2,-0.9,115.1,0.3,113.0,-1.8,Lost W. Conf. Semis,M. Williams(45-37),D. Ayton(6.2),2023
2021-22,NBA,Phoenix Suns*,64,18,.780,1st of 5,6.94,99.8,1.6,114.8,2.8,107.3,-4.7,Lost W. Conf. Semis,M. Williams(64-18),C. Paul(9.4),2022
2020-21,NBA,Phoenix Suns*,51,21,.708,1st of 5,5.67,97.2,-2.0,117.2,4.9,111.3,-1.0,Lost Finals,M. Williams(51-21),C. Paul(9.2),2021
2019-20,NBA,Phoenix Suns,34,39,.466,3rd of 5,0.56,101.3,1.0,111.7,1.1,111.4,0.8,0,M. Williams(34-39),D. Booker(7.5),2020
2018-19,NBA,Phoenix Suns,19,63,.232,5th of 5,-8.61,100.5,0.5,105.9,-4.5,115.1,4.7,0,I. Kokoskov(19-63),D. Ayton(5.8),2019
2017-18,NBA,Phoenix Suns,21,61,.256,5th of 5,-8.80,100.3,3.0,103.5,-5.1,112.8,4.2,0,"E. Watson(0-3),J. Triano(21-58)",A. Len(4.5),2018
2016-17,NBA,Phoenix Suns,24,58,.293,5th of 5,-5.14,100.3,3.9,106.6,-2.2,112.2,3.4,0,E. Watson(24-58),E. Bledsoe(5.3),2017
2015-16,NBA,Phoenix Suns,23,59,.280,4th of 5,-6.32,98.5,2.7,102.2,-4.2,109.0,2.6,0,"J. Hornacek(14-35),E. Watson(9-24)",M. Teletović(3.8),2016
2014-15,NBA,Phoenix Suns,39,43,.476,3rd of 5,-0.38,96.3,2.4,105.3,-0.3,106.2,0.6,0,J. Hornacek(39-43),E. Bledsoe(7.0),2015
2013-14,NBA,Phoenix Suns,48,34,.585,3rd of 5,3.02,95.8,1.9,109.5,2.8,106.7,0.0,0,J. Hornacek(48-34),G. Dragić(10.3),2014
2012-13,NBA,Phoenix Suns,25,57,.305,5th of 5,-5.75,93.4,1.4,101.2,-4.7,108.1,2.2,0,"A. Gentry(13-28),L. Hunter(12-29)",G. Dragić(5.7),2013
2011-12,NBA,Phoenix Suns,33,33,.500,3rd of 5,0.29,92.6,1.3,106.2,1.6,106.5,1.9,0,A. Gentry(33-33),M. Gortat(7.6),2012
2010-11,NBA,Phoenix Suns,40,42,.488,2nd of 5,-0.46,94.4,2.3,109.5,2.2,110.4,3.1,0,A. Gentry(40-42),S. Nash(7.9),2011
2009-10,NBA,Phoenix Suns*,54,28,.659,2nd of 5,4.67,95.3,2.6,115.3,7.7,110.2,2.6,Lost W. Conf. Finals,A. Gentry(54-28),A. Stoudemire(10.7),2010
2008-09,NBA,Phoenix Suns,46,36,.561,2nd of 5,1.62,96.0,4.3,113.6,5.3,111.6,3.3,0,"T. Porter(28-23),A. Gentry(18-13)",S. O'Neal(7.8),2009
2007-08,NBA,Phoenix Suns*,55,27,.671,2nd of 5,5.14,96.7,4.3,113.3,5.8,108.1,0.6,Lost W. Conf. 1st Rnd.,M. D'Antoni(55-27),A. Stoudemire(14.6),2008
2006-07,NBA,Phoenix Suns*,61,21,.744,1st of 5,7.28,95.6,3.7,113.9,7.4,106.4,-0.1,Lost W. Conf. Semis,M. D'Antoni(61-21),S. Nash(12.6),2007
2005-06,NBA,Phoenix Suns*,54,28,.659,1st of 5,5.48,95.8,5.3,111.5,5.3,105.8,-0.4,Lost W. Conf. Finals,M. D'Antoni(54-28),S. Marion(14.6),2006
2004-05,NBA,Phoenix Suns*,62,20,.756,1st of 5,7.08,95.9,5.0,114.5,8.4,107.1,1.0,Lost W. Conf. Finals,M. D'Antoni(62-20),A. Stoudemire(14.6),2005
2003-04,NBA,Phoenix Suns,29,53,.354,6th of 7,-2.94,92.6,2.5,101.4,-1.5,105.5,2.6,0,"F. Johnson(8-13),M. D'Antoni(21-40)",S. Marion(9.1),2004
2002-03,NBA,Phoenix Suns*,44,38,.537,4th of 7,1.57,91.5,0.5,103.7,0.1,102.5,-1.1,Lost W. Conf. 1st Rnd.,F. Johnson(44-38),S. Marion(13.0),2003
2001-02,NBA,Phoenix Suns,36,46,.439,6th of 7,-0.30,91.4,0.7,103.3,-1.2,104.0,-0.5,0,"S. Skiles(25-26),F. Johnson(11-20)",S. Marion(9.8),2002
2000-01,NBA,Phoenix Suns*,51,31,.622,3rd of 7,2.63,93.1,1.8,100.3,-2.7,98.0,-5.0,Lost W. Conf. 1st Rnd.,S. Skiles(51-31),S. Marion(11.7),2001
1999-00,NBA,Phoenix Suns*,53,29,.646,3rd of 7,5.24,94.0,0.9,104.6,0.5,99.0,-5.1,Lost W. Conf. Semis,"D. Ainge(13-7),S. Skiles(40-22)",C. Robinson(9.6),1900
1998-99,NBA,Phoenix Suns*,27,23,.540,3rd of 7,2.15,90.0,1.1,105.8,3.6,103.3,1.1,Lost W. Conf. 1st Rnd.,D. Ainge(27-23),J. Kidd(8.1),1999
1997-98,NBA,Phoenix Suns*,56,26,.683,3rd of 7,4.44,91.4,1.1,107.4,2.4,101.8,-3.2,Lost W. Conf. 1st Rnd.,D. Ainge(56-26),A. McDyess(9.4),1998
1996-97,NBA,Phoenix Suns*,40,42,.488,4th of 7,0.21,93.2,3.1,109.3,2.6,108.6,1.9,Lost W. Conf. 1st Rnd.,"C. Fitzsimmons(0-8),D. Ainge(40-34)",K. Johnson(11.7),1997
