Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,G. Popovich(0-0),0,2025
2023-24,NBA,San Antonio Spurs,22,60,.268,5th of 5,-5.80,101.1,2.6,110.0,-5.3,116.4,1.1,0,G. Popovich(22-60),T. Jones(4.9),2024
2022-23,NBA,San Antonio Spurs,22,60,.268,5th of 5,-9.82,101.6,2.5,110.2,-4.6,120.0,5.2,0,G. Popovich(22-60),T. Jones(3.4),2023
2021-22,NBA,San Antonio Spurs,34,48,.415,4th of 5,0.02,100.0,1.8,112.4,0.4,112.3,0.3,0,G. Popovich(34-48),D. Murray(7.3),2022
2020-21,NBA,San Antonio Spurs,33,39,.458,3rd of 5,-1.58,98.9,-0.3,111.0,-1.3,112.8,0.5,0,G. Popovich(33-39),D. DeRozan(7.4),2021
2019-20,NBA,San Antonio Spurs,32,39,.451,4th of 5,-0.65,100.5,0.2,112.4,1.8,113.5,2.9,0,G. Popovich(32-39),D. DeRozan(7.3),2020
2018-19,NBA,San Antonio Spurs*,48,34,.585,2nd of 5,1.80,98.3,-1.7,112.9,2.5,111.2,0.8,Lost W. Conf. 1st Rnd.,G. Popovich(48-34),L. Aldridge(9.3),2019
2017-18,NBA,San Antonio Spurs*,47,35,.573,3rd of 5,2.89,95.0,-2.3,107.9,-0.7,104.8,-3.8,Lost W. Conf. 1st Rnd.,G. Popovich(47-35),L. Aldridge(10.9),2018
2016-17,NBA,San Antonio Spurs*,61,21,.744,1st of 5,7.13,94.2,-2.2,111.1,2.3,103.5,-5.3,Lost W. Conf. Finals,G. Popovich(61-21),K. Leonard(13.6),2017
2015-16,NBA,San Antonio Spurs*,67,15,.817,1st of 5,10.28,93.8,-2.0,110.3,3.9,99.0,-7.4,Lost W. Conf. Semis,G. Popovich(67-15),K. Leonard(13.7),2016
2014-15,NBA,San Antonio Spurs*,55,27,.671,3rd of 5,6.34,93.8,-0.1,108.5,2.9,102.0,-3.6,Lost W. Conf. 1st Rnd.,G. Popovich(55-27),T. Duncan(9.6),2015
2013-14,NBA,San Antonio Spurs*,62,20,.756,1st of 5,8.00,95.0,1.1,110.5,3.8,102.4,-4.3,Won Finals,G. Popovich(62-20),K. Leonard(7.7),2014
2012-13,NBA,San Antonio Spurs*,58,24,.707,1st of 5,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,Lost Finals,G. Popovich(58-24),T. Parker(9.3),2013
2011-12,NBA,San Antonio Spurs*,50,16,.758,1st of 5,7.28,92.9,1.6,110.9,6.3,103.2,-1.4,Lost W. Conf. Finals,G. Popovich(50-16),T. Parker(7.1),2012
2010-11,NBA,San Antonio Spurs*,61,21,.744,1st of 5,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,Lost W. Conf. 1st Rnd.,G. Popovich(61-21),M. Ginóbili(9.9),2011
2009-10,NBA,San Antonio Spurs*,50,32,.610,2nd of 5,5.07,91.7,-1.0,110.0,2.4,104.5,-3.1,Lost W. Conf. Semis,G. Popovich(50-32),T. Duncan(10.9),2010
2008-09,NBA,San Antonio Spurs*,54,28,.659,1st of 5,3.36,88.4,-3.3,108.5,0.2,104.3,-4.0,Lost W. Conf. 1st Rnd.,G. Popovich(54-28),T. Duncan(10.1),2009
2007-08,NBA,San Antonio Spurs*,56,26,.683,2nd of 5,5.10,88.8,-3.6,107.2,-0.3,101.8,-5.7,Lost W. Conf. Finals,G. Popovich(56-26),M. Ginóbili(11.1),2008
2006-07,NBA,San Antonio Spurs*,58,24,.707,2nd of 5,8.35,89.8,-2.1,109.2,2.7,99.9,-6.6,Won Finals,G. Popovich(58-24),T. Duncan(13.0),2007
2005-06,NBA,San Antonio Spurs*,63,19,.768,1st of 5,6.69,88.5,-2.0,107.3,1.1,99.6,-6.6,Lost W. Conf. Semis,G. Popovich(63-19),T. Duncan(10.8),2006
2004-05,NBA,San Antonio Spurs*,59,23,.720,1st of 5,7.84,88.9,-2.0,107.5,1.4,98.8,-7.3,Won Finals,G. Popovich(59-23),T. Duncan(11.2),2005
2003-04,NBA,San Antonio Spurs*,57,25,.695,2nd of 7,7.51,89.2,-0.9,102.2,-0.7,94.1,-8.8,Lost W. Conf. Semis,G. Popovich(57-25),T. Duncan(13.1),2004
2002-03,NBA,San Antonio Spurs*,60,22,.732,1st of 7,5.65,90.0,-1.0,105.6,2.0,99.7,-3.9,Won Finals,G. Popovich(60-22),T. Duncan(16.5),2003
2001-02,NBA,San Antonio Spurs*,58,24,.707,1st of 7,6.28,90.0,-0.7,106.5,2.0,99.7,-4.8,Lost W. Conf. Semis,G. Popovich(58-24),T. Duncan(17.8),2002
2000-01,NBA,San Antonio Spurs*,58,24,.707,1st of 7,7.92,89.6,-1.7,106.6,3.6,98.0,-5.0,Lost W. Conf. Finals,G. Popovich(58-24),T. Duncan(13.2),2001
1999-00,NBA,San Antonio Spurs*,53,29,.646,2nd of 7,5.92,90.8,-2.3,105.0,0.9,98.6,-5.5,Lost W. Conf. 1st Rnd.,G. Popovich(53-29),T. Duncan(13.0),1900
1998-99,NBA,San Antonio Spurs*,37,13,.740,1st of 7,7.12,88.6,-0.3,104.0,1.8,95.0,-7.2,Won Finals,G. Popovich(37-13),T. Duncan(8.7),1999
1997-98,NBA,San Antonio Spurs*,56,26,.683,2nd of 7,3.30,88.4,-1.9,103.8,-1.2,99.4,-5.6,Lost W. Conf. Semis,G. Popovich(56-26),D. Robinson(13.8),1998
1996-97,NBA,San Antonio Spurs,20,62,.244,6th of 7,-7.93,87.3,-2.8,103.3,-3.4,112.3,5.6,0,"B. Hill(3-15),G. Popovich(17-47)",W. Perdue(4.4),1997
1995-96,NBA,San Antonio Spurs*,59,23,.720,1st of 7,5.98,93.3,1.5,110.2,2.6,103.5,-4.1,Lost W. Conf. Semis,B. Hill(59-23),D. Robinson(18.3),1996
1994-95,NBA,San Antonio Spurs*,62,20,.756,1st of 6,5.90,94.6,1.7,111.7,3.4,105.4,-2.9,Lost W. Conf. Finals,B. Hill(62-20),D. Robinson(17.5),1995
1993-94,NBA,San Antonio Spurs*,55,27,.671,2nd of 6,5.05,90.1,-5.0,110.4,4.1,104.6,-1.7,Lost W. Conf. 1st Rnd.,J. Lucas(55-27),D. Robinson(20.0),1994
1992-93,NBA,San Antonio Spurs*,49,33,.598,2nd of 6,2.21,95.4,-1.4,109.6,1.6,106.8,-1.2,Lost W. Conf. Semis,"J. Tarkanian(9-11),R. Hughes(1-0),J. Lucas(39-22)",D. Robinson(13.2),1993
1991-92,NBA,San Antonio Spurs*,47,35,.573,2nd of 6,2.81,96.2,-0.4,107.5,-0.7,104.1,-4.1,Lost W. Conf. 1st Rnd.,"L. Brown(21-17),B. Bass(26-18)",D. Robinson(13.9),1992
1990-91,NBA,San Antonio Spurs*,55,27,.671,1st of 7,4.30,98.6,0.8,107.8,-0.1,103.3,-4.6,Lost W. Conf. 1st Rnd.,L. Brown(55-27),D. Robinson(17.0),1991
1989-90,NBA,San Antonio Spurs*,56,26,.683,1st of 7,3.58,98.5,0.2,107.7,-0.4,104.2,-3.9,Lost W. Conf. Semis,L. Brown(56-26),D. Robinson(15.1),1990
1988-89,NBA,San Antonio Spurs,21,61,.256,5th of 6,-7.45,104.1,3.5,100.9,-6.9,107.9,0.1,0,L. Brown(21-61),W. Anderson(4.9),1989
1987-88,NBA,San Antonio Spurs*,31,51,.378,5th of 6,-5.02,104.4,4.8,108.2,0.2,112.8,4.8,Lost W. Conf. 1st Rnd.,B. Weiss(31-51),A. Robertson(5.8),1988
1986-87,NBA,San Antonio Spurs,28,54,.341,6th of 6,-5.09,101.7,0.9,105.9,-2.4,110.8,2.5,0,B. Weiss(28-54),D. Greenwood(6.2),1987
1985-86,NBA,San Antonio Spurs*,35,47,.427,6th of 6,-2.06,103.8,1.7,106.5,-0.7,108.2,1.0,Lost W. Conf. 1st Rnd.,C. Fitzsimmons(35-47),A. Robertson(8.6),1986
1984-85,NBA,San Antonio Spurs*,41,41,.500,5th of 6,0.63,103.9,1.8,109.9,2.0,109.0,1.1,Lost W. Conf. 1st Rnd.,C. Fitzsimmons(41-41),A. Gilmore(10.5),1985
1983-84,NBA,San Antonio Spurs,37,45,.451,5th of 6,-0.50,106.5,5.1,111.2,3.6,111.4,3.8,0,"M. McHone(11-20),B. Bass(26-25)",A. Gilmore(6.7),1984
1982-83,NBA,San Antonio Spurs*,53,29,.646,1st of 6,3.10,103.3,0.2,110.1,5.4,106.6,1.9,Lost W. Conf. Finals,S. Albeck(53-29),A. Gilmore(11.0),1983
1981-82,NBA,San Antonio Spurs*,48,34,.585,1st of 6,1.79,102.5,1.6,109.9,3.0,107.6,0.7,Lost W. Conf. Finals,S. Albeck(48-34),G. Gervin(10.7),1982
