Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2024-25,NBA,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,W. Hardy(0-0),0,2025
2023-24,NBA,Utah Jazz,31,51,.378,4th of 5,-4.22,99.5,1.0,115.5,0.2,120.4,5.1,0,W. Hardy(31-51),L. Markkanen(6.2),2024
2022-23,NBA,Utah Jazz,37,45,.451,4th of 5,-1.03,100.5,1.4,115.8,1.0,116.7,1.9,0,W. Hardy(37-45),L. Markkanen(8.2),2023
2021-22,NBA,Utah Jazz*,49,33,.598,1st of 5,5.67,97.1,-1.1,116.7,4.7,110.5,-1.5,Lost W. Conf. 1st Rnd.,Q. Snyder(49-33),R. Gobert(11.7),2022
2020-21,NBA,Utah Jazz*,52,20,.722,1st of 5,8.97,98.5,-0.7,117.6,5.3,108.3,-4.0,Lost W. Conf. Semis,Q. Snyder(52-20),R. Gobert(11.3),2021
2019-20,NBA,Utah Jazz*,44,28,.611,3rd of 5,2.52,98.6,-1.7,112.3,1.7,109.9,-0.7,Lost W. Conf. 1st Rnd.,Q. Snyder(44-28),R. Gobert(10.7),2020
2018-19,NBA,Utah Jazz*,50,32,.610,3rd of 5,5.28,100.3,0.3,110.9,0.5,105.7,-4.7,Lost W. Conf. 1st Rnd.,Q. Snyder(50-32),R. Gobert(14.4),2019
2017-18,NBA,Utah Jazz*,48,34,.585,3rd of 5,4.47,95.7,-1.6,108.4,-0.2,103.9,-4.7,Lost W. Conf. Semis,Q. Snyder(48-34),R. Gobert(8.1),2018
2016-17,NBA,Utah Jazz*,51,31,.622,1st of 5,4.00,91.6,-4.8,109.6,0.8,105.3,-3.5,Lost W. Conf. Semis,Q. Snyder(51-31),R. Gobert(14.3),2017
2015-16,NBA,Utah Jazz,40,42,.488,3rd of 5,1.84,91.0,-4.8,105.9,-0.5,103.9,-2.5,0,Q. Snyder(40-42),G. Hayward(8.9),2016
2014-15,NBA,Utah Jazz,38,44,.463,3rd of 5,0.71,90.4,-3.5,105.1,-0.5,104.9,-0.7,0,Q. Snyder(38-44),R. Gobert(9.3),2015
2013-14,NBA,Utah Jazz,25,57,.305,5th of 5,-6.27,91.4,-2.5,103.5,-3.2,111.3,4.6,0,T. Corbin(25-57),D. Favors(5.1),2014
2012-13,NBA,Utah Jazz,43,39,.524,3rd of 5,0.30,90.9,-1.1,106.7,0.8,106.8,0.9,0,T. Corbin(43-39),A. Jefferson(7.7),2013
2011-12,NBA,Utah Jazz*,36,30,.545,3rd of 5,0.92,91.4,0.1,106.8,2.2,106.1,1.5,Lost W. Conf. 1st Rnd.,T. Corbin(36-30),P. Millsap(7.8),2012
2010-11,NBA,Utah Jazz,39,43,.476,4th of 5,-1.44,91.0,-1.1,108.1,0.8,110.1,2.8,0,"J. Sloan(31-23),T. Corbin(8-20)",A. Jefferson(7.8),2011
2009-10,NBA,Utah Jazz*,53,29,.646,2nd of 5,5.33,93.8,1.1,110.7,3.1,105.0,-2.6,Lost W. Conf. Semis,J. Sloan(53-29),D. Williams(10.3),2010
